emb_x,emb_y,NoOfAttributes,NoOfClasses,DataSetSize,AttributeType,EntropyLabel,AvgEntrophyFeatures,AvgCorelationBetFeatures,2_6_8_TrainingAccuracy,2_6_8_TestAccuracy,1_5_0_TrainingAccuracy,1_5_0_TestAccuracy,2_6_20_TrainingAccuracy,2_6_20_TestAccuracy,Accuracy,Legal
0.79579294,0.5145031,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.000751874,0
0.96427315,0.97720885,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.6602508,1
-0.9996276,0.99820703,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,4.14E-27,0
0.7063866,0.12308448,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.7086344,1
-0.99999976,-0.99999976,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,9.17E-35,0
-0.33876765,0.39571646,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.64219165,1
-0.99999976,-0.99999976,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,1.95E-36,0
0.88320404,0.9957489,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,0.65954244,1
-0.99999976,-0.99999976,0.75,0.625,0.5621397,0,0.9334558,0.42884418,0.49610627,0.7191806,0.7223011,0.68524545,0.69140625,0.73545754,0.7286932,1.18E-35,0
0.9211026,0.5157633,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,0.47970992,1
-0.99990964,-0.99999976,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,2.22E-32,0
0.4757605,0.731687,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,0.52902406,1
-0.9999939,0.9999332,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,1.60E-25,0
0.9947955,0.9463961,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,0.5079314,1
-0.99999976,-0.99999976,0.75,0,0.001704099,1,0.99708533,0,0.7345509,0.85294116,0.44827586,0.71568626,0.6551724,0.9607843,0.62068963,4.89E-33,0
